,COL102,COL107,COL126,COL127,COL129,COL135,COL136,COL139,COL140,COL172,COL173,COL177,COL178,COL182,COL183,COL185,COL186,COL187,COL190,COL191,COL223,COL224,COL225,COL25,COL44,COL45,COL51,COL59,COL66,COL67,COL74,COL75,COL88,COL89,COL96,H2O,ILE102,ILE107,ILE127,ILE128,ILE129,ILE130,ILE135,ILE136,ILE139,ILE140,ILE173,ILE182,ILE183,ILE184,ILE185,ILE186,ILE187,ILE190,ILE191,ILE224,ILE225,ILE25,ILE44,ILE45,ILE51,ILE59,ILE60,ILE66,ILE67,ILE74,ILE75,ILE76,ILE77,ILE78,ILE88,ILE89,ILE95,ILE96,LIV102,LIV107,LIV126,LIV127,LIV128,LIV129,LIV130,LIV135,LIV136,LIV139,LIV140,LIV144,LIV145,LIV172,LIV173,LIV177,LIV178,LIV182,LIV183,LIV184,LIV185,LIV186,LIV187,LIV190,LIV191,LIV223,LIV224,LIV225,LIV25,LIV44,LIV45,LIV51,LIV58,LIV59,LIV60,LIV66,LIV67,LIV74,LIV75,LIV76,LIV77,LIV78,LIV88,LIV89,LIV95,LIV96,STO102,STO107,STO126,STO127,STO128,STO129,STO130,STO135,STO136,STO139,STO140,STO144,STO172,STO173,STO177,STO183,STO185,STO186,STO187,STO190,STO224,STO25,STO44,STO45,STO51,STO58,STO59,STO60,STO66,STO74,STO75,STO76,STO77,STO78,STO88,STO89,STO95,STO96
orotic acid,4.304955,5.06263,4.522289,5.259842,3.778959,4.294489,3.971174,3.564896,3.336382,4.099408,5.169246,4.741995,6.34997,3.670365,4.479994,4.953063,5.039932,4.838003,5.24942,4.191005,3.235953,4.326305,4.884376,2.681589,3.769193,3.308224,4.764592,4.02952,3.547748,3.376634,4.566343,3.703917,2.99895,2.850843,3.69535,,6.130005,5.547517,5.173143,5.642979,4.761144,6.473253,5.206014,6.159796,3.772565,6.566637,9.727713,5.256188,5.372881,5.398969,5.80567,5.403043,4.665081,5.271022,3.922816,5.537188,5.847678,3.456012,3.538193,4.398313,3.523841,4.673398,3.461465,2.713527,3.753001,3.609634,3.773227,5.328042,5.683949,4.186617,2.892399,2.954857,2.368634,3.874951,6.8743,4.678329,5.871256,5.480395,3.077559,4.0984,3.88455,4.753586,3.683777,3.497435,3.867142,3.547952,5.257054,5.514689,5.453754,4.672528,3.718274,4.64398,5.545911,3.835233,5.249665,5.219857,5.028022,5.195933,5.626333,4.113077,4.400102,5.077832,5.848917,3.301634,5.472685,5.359527,4.240778,5.241291,5.175737,4.948532,5.789531,5.54484,3.436216,5.466204,4.079168,4.735194,4.412433,5.305452,3.968235,3.350847,2.682985,2.976679,7.127967,2.390387,2.606321,5.95273,6.11054,4.690214,4.330213,2.491725,5.79793,2.563411,7.297266,3.53172,2.278206,2.722833,3.986806,4.852677,4.377287,2.243066,4.839612,2.847643,6.452663,3.856666,2.631754,3.221203,3.518281,3.059332,6.16261,3.358729,2.954214,3.401706,3.239025,4.914244,3.219254,3.754457,3.198333,3.612652
aspartic acid,0.162278,0.178075,0.349545,0.318391,0.174294,0.13338,0.184133,0.085902,0.158557,0.491272,0.765164,0.721941,0.181969,0.197917,0.194492,0.243277,0.387888,0.300928,0.31651,0.205504,0.151089,0.443929,0.241809,0.150395,0.120587,0.14644,0.120818,0.11698,0.163058,0.201172,0.216899,0.071173,0.090497,0.045782,0.138596,,0.368203,1.300642,0.280453,0.291624,1.011893,1.667943,0.094497,0.665329,1.182318,0.589268,2.890362,0.279577,0.665522,0.562768,0.259534,0.89441,0.664107,0.514614,0.114068,0.927968,0.471202,0.883008,1.074681,2.007916,1.101707,0.997308,0.304724,0.212081,0.531201,0.771843,0.837338,0.655826,1.412028,1.077115,0.465465,0.674043,1.018065,0.907978,1.352071,0.693507,0.639138,0.750427,0.161705,0.357184,0.340838,0.330981,0.246152,0.178129,0.287082,0.826311,1.272777,0.422819,0.408085,0.530798,0.541183,0.228462,0.270178,0.888953,0.250787,0.278913,0.265959,0.258773,0.344482,0.473846,0.513661,0.224081,0.742591,0.475699,0.602678,0.472022,0.451887,0.400658,0.347231,0.372309,0.508798,0.851111,0.509569,0.658508,0.6566,0.583689,0.255363,0.292923,0.303164,0.265044,0.202471,0.208986,1.923134,0.108956,0.19694,0.288677,0.357543,0.351528,0.66379,0.163994,0.430806,0.005461,0.903346,0.528965,0.13632,0.387276,0.566125,0.52249,0.349471,0.189042,0.295936,0.300102,0.696399,1.004491,0.153684,0.105067,0.868271,0.240125,1.132517,0.945738,0.464692,0.169935,0.596392,1.642726,0.21534,1.078888,0.246772,0.255597
glutamic acid,1.19325,0.625161,0.371739,0.41824,0.641367,0.826694,0.777666,0.486371,0.568316,0.708876,2.831259,1.974944,0.332161,0.877066,0.918362,0.915934,1.656306,1.122331,1.594553,1.019393,0.718415,1.330345,0.994493,0.336443,0.684542,0.476806,0.800046,0.997856,1.253706,0.950501,2.584034,1.06444,0.820485,0.159245,0.276862,,0.624361,3.316246,1.939411,0.57717,1.514592,0.044465,0.36201,0.03972,0.020879,0.035892,0.024062,0.018003,0.02487,0.025928,0.018467,0.017109,0.016996,0.017075,0.012799,0.023344,0.025051,1.701787,1.778944,3.552536,2.47134,3.245426,1.251708,1.369574,2.634683,1.699781,1.78602,1.528005,3.074869,3.365263,1.334241,2.177393,2.55749,2.556729,0.018536,0.024421,0.041425,0.053039,0.019799,0.022665,0.021077,0.027811,0.025493,0.030721,0.023804,0.02824,0.027303,0.033855,0.033254,0.020575,0.022007,0.031976,0.024762,0.022493,0.028401,0.028237,0.029097,0.025094,0.026866,0.032569,0.027776,0.02813,0.025615,0.026728,0.025581,0.027633,0.027733,0.032648,0.030243,0.031835,0.028082,0.016136,0.021319,0.020284,0.019161,0.021956,0.035571,0.043616,0.035947,0.031688,0.053614,0.059668,0.065819,0.049811,0.001287,0.063303,0.000896,0.007436,0.022446,0.001917,0.008134,0.055968,0.05886,0.059095,0.057119,0.05311,0.011231,0.004569,0.001377,0.055616,0.001222,0.054674,0.06441,0.047343,0.052018,0.045637,0.055569,0.05668,0.052083,0.052996,0.043441,0.040195,0.064734,0.047924,0.060293,0.066524,0.04594,0.062539
internal standard,9.365139,7.853879,9.469373,10.067191,10.698477,10.62064,10.64394,9.16833,10.230868,7.466244,10.972653,10.283554,9.575377,9.268478,9.395767,12.006803,9.04213,11.075962,9.428526,8.295708,8.834149,9.541355,11.30477,9.264108,10.542849,8.743713,11.244783,11.62897,11.622098,9.436362,9.373879,10.574436,9.510586,9.853196,10.098271,,10.700526,10.677847,10.80092,10.114604,12.289792,0.008672,10.786141,0.011559,0.017823,0.00413,0.014989,,,,0.003219,0.004511,0.007497,0.004171,0.002435,,,10.532866,10.170704,10.708902,10.901914,11.01681,9.590965,11.3058,10.66362,9.143245,9.870464,10.123373,10.133307,9.941067,9.636908,9.997077,7.933104,11.110537,0.0989,0.15401,0.114031,0.098886,0.066435,0.023796,0.087914,0.118141,0.071051,0.055172,0.061453,0.13812,0.194193,0.107944,0.08278,0.091317,0.104454,0.092942,0.083001,0.182039,0.074877,0.099412,0.106141,0.096576,0.107047,0.100853,0.105954,0.10499,0.123758,0.06162,0.104554,0.08901,0.073975,0.080745,0.100634,0.074007,0.112222,0.060808,0.042332,0.085503,0.05482,0.069986,0.059793,0.0951,0.066558,0.05371,0.000574,0.001686,0.020753,0.001826,0.009983,,0.002359,,,0.016011,0.012004,0.001922,0.016398,0.002004,0.001457,,,0.015404,,,0.006236,0.000473,0.002338,0.002358,0.000576,0.00024,,0.000388,0.000542,0.00051,0.000465,0.000841,0.000473,0.005883,0.000608,0.004065,0.003383,0.000267
asparagine,0.061627,0.050045,0.059844,0.069968,0.546312,0.696467,0.700667,0.547515,0.396152,0.060408,0.091447,0.031673,0.064778,0.61071,0.777118,0.620661,1.168572,0.784791,1.131085,0.583582,0.548127,0.878621,0.903819,0.033186,0.053102,0.058419,0.069611,0.039148,0.051381,0.043701,0.07042,0.034875,0.025665,0.049283,0.042275,,0.079286,0.469822,0.07936,0.135451,0.420871,,0.064124,,,,,0.003832,,,0.003793,,,,0.002964,,,0.46149,0.494804,0.749224,0.513393,0.359601,0.007605,0.013509,0.075899,0.226055,0.340971,0.006052,0.439765,0.288087,0.117957,0.24448,0.418198,0.018276,,,,,0.012108,0.023062,,0.04965,0.019687,0.019036,0.012468,0.024646,0.063063,0.094548,,,,,,0.059529,0.07194,,,,,,,,,,,,,0.089527,0.063947,0.15863,,,0.036087,,0.051513,0.060822,0.079986,,0.10159,,,,,,0.042802,,,,,0.059504,,,0.037498,0.022697,0.019048,,0.091542,0.073803,0.054936,,0.042391,0.013419,0.033921,0.023176,0.005465,0.020399,0.029504,0.021248,0.04205,0.021673,0.01926,0.020857,0.022403,,0.026444,0.037458,0.024825,
serine,0.030021,0.040606,0.030343,0.041453,1.080146,0.715804,0.765824,0.604186,0.452984,0.009726,0.017485,0.067345,0.010177,0.624605,0.772867,0.594118,1.123612,0.74816,1.1313,0.535941,0.595842,1.1133,0.946841,0.02049,0.030497,0.021068,0.035744,0.029266,0.020564,0.018715,0.030003,0.021165,0.016202,0.014956,0.016914,,0.227837,1.157273,0.400444,0.30862,0.913982,,0.188626,,,,,,,,,,,,,,,1.29367,0.983552,1.742674,1.003353,1.009272,0.240676,0.33049,0.89402,0.686461,0.84874,0.589615,1.116587,1.122449,0.5673,0.892064,1.060549,0.886972,1.808265,1.576706,1.950371,1.231277,0.47346,0.707024,,1.226163,,,1.249769,,,1.449169,1.495151,1.225228,1.532829,,,,,,,1.277723,,,,,,,,,0.775748,0.636488,0.635381,0.49629,0.840797,0.67172,0.543196,0.586711,0.715379,0.638349,0.523962,0.384342,,1.134494,,,,,0.11655,,,,,,0.162079,0.000195,,,,,0.216875,0.225678,,,,,,,,,,,,,,,,,,,,
glutamine,0.028652,0.021654,0.014553,0.02135,0.540301,0.670261,0.668019,0.533115,0.386066,0.018403,0.025472,0.020767,0.031532,0.556176,0.703587,0.571838,1.025367,0.680117,1.048905,0.535831,0.54754,0.967002,0.870489,0.016754,0.037569,0.026851,0.021863,0.029775,0.027043,0.025657,0.034739,0.029572,0.021395,0.013868,0.017749,,0.157783,0.737607,0.275287,0.234851,0.727377,0.21413,0.122717,,,,,,,,,0.045262,0.03426,,,0.07268,,0.664415,0.640181,1.221955,0.516443,0.108495,0.016993,0.008825,0.018154,0.410044,0.623524,0.022824,0.6254,0.056435,0.050159,0.069859,0.462185,0.023655,0.093804,0.094088,0.06303,0.051759,0.054732,0.091706,0.028725,0.075756,0.020962,0.015581,0.017772,0.046507,0.069792,0.032098,0.028575,0.026512,0.031763,0.030828,0.036738,0.044578,0.035988,0.024307,0.025554,0.026138,0.026492,0.017729,0.020681,0.018491,0.163577,0.056276,0.081647,0.087457,,0.069678,0.070973,0.068356,,,0.048034,0.072755,0.055884,0.073501,0.046952,0.063474,0.057144,0.047825,,0.0052,,0.000706,0.003196,0.012899,0.014115,0.019678,0.03526,0.007081,0.011673,2.6e-05,0.022666,0.009268,0.003671,0.004689,0.008387,0.011883,0.009574,0.005717,0.006432,0.005072,0.005117,0.007007,0.00754,0.004413,0.007654,0.007018,0.009053,0.009512,0.007351,0.007474,0.008176,0.022037,0.007865,0.01438,0.007956,
histidine,0.039051,0.045773,0.038785,0.044794,0.141221,0.161476,0.165711,0.124566,0.116959,0.048722,0.077793,0.049705,0.041694,0.127688,0.165393,0.116701,0.261197,0.158131,0.274942,0.132912,0.153987,0.268216,0.203711,0.020104,0.03255,0.032037,0.044003,0.027971,0.036434,0.030869,0.041036,0.034585,0.020958,0.016265,0.022882,,0.079832,0.305881,0.121485,0.071184,0.181429,0.044918,0.053956,,,,0.011164,,,,,,,,,,,0.218527,0.236973,0.424467,0.262312,0.288348,0.11112,0.1187,0.272607,0.187019,0.22648,0.15366,0.265459,0.307132,0.131923,0.217335,0.27395,0.224609,0.000362,0.000176,0.000263,0.000155,9.1e-05,6.4e-05,1.1e-05,,,2e-06,,,,0.000218,4.4e-05,5.6e-05,6.1e-05,6.3e-05,0.000114,0.000101,0.000108,7.3e-05,,5.1e-05,,,3.1e-05,,0.000353,3.8e-05,0.000226,0.000202,5.7e-05,6.7e-05,8e-05,5e-05,6.6e-05,3.7e-05,,0.000105,5.2e-05,7.3e-05,4.7e-05,3.6e-05,4.8e-05,0.000129,6e-05,0.000265,0.001588,5e-06,,,5.1e-05,,,,,5.7e-05,0.000604,0.000401,4.9e-05,,,,,,,0.000187,0.00069,0.000896,8e-05,4.9e-05,0.000135,5.5e-05,0.000188,3.5e-05,1.6e-05,2.6e-05,,0.000123,,0.00011,2.1e-05,
glycine,0.096892,0.104596,0.071177,0.082197,0.526175,0.649502,0.814932,0.565795,0.634165,0.092801,0.2322,0.174019,0.068386,0.832633,1.004982,0.837746,1.530722,1.032593,1.39627,0.69648,0.586565,1.250322,1.02016,0.038581,0.078405,0.119528,0.073579,0.0945,0.119461,0.100056,0.155412,0.067127,0.066133,0.069351,0.055854,,0.516063,1.773863,0.928665,0.578508,0.00912,0.009047,0.014425,,0.00663,,0.001274,,0.001683,,,0.003677,0.000917,0.000645,0.009842,,,1.075431,1.37362,2.094336,1.444365,1.438716,0.617421,0.646777,1.632316,0.842622,0.901553,1.204402,1.652373,1.544486,0.940966,1.228502,1.220272,1.500815,0.000183,,,,,,,,,,,0.000513,0.005363,,,,,,,0.000441,,,,,,,,,0.00019,7.5e-05,,,,,,,,,,,,,,,,,,0.001256,0.000179,,0.002958,0.00551,0.01129,,0.000257,,0.001743,9e-06,0.000271,,0.001611,0.000687,,0.000157,,0.000755,0.007064,,0.011036,,,,,,,,,0.00022,8.2e-05,7.8e-05,,,,4.7e-05
citrulline-threonine,0.660884,0.437762,0.791915,0.741264,0.480741,0.629066,0.551312,0.486439,0.328522,0.277459,0.141823,0.123838,0.347062,0.482459,0.623336,0.55238,0.864077,0.561091,0.889065,0.493468,0.514242,0.635255,0.703193,0.044984,0.296636,0.662674,0.490571,0.295686,0.274293,0.28994,0.822369,0.320502,0.243802,0.264087,0.459782,,0.177293,3.366354,1.929729,0.378213,0.533245,,,,,,,,,,,,,,,,,1.420778,0.998085,3.450457,2.593001,5.196496,1.464148,1.045745,1.249349,1.674795,2.43857,1.850895,2.765937,3.895081,0.828472,1.853371,2.094874,2.729758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arginine,0.068231,0.065028,0.053491,0.06594,0.390757,0.503708,0.544497,0.383515,0.280502,0.072798,0.166911,0.090368,0.06027,0.373463,0.531829,0.437543,0.784404,0.522974,0.71308,0.453934,0.406263,0.687156,0.591201,0.031675,0.065127,0.043326,0.067187,0.055952,0.051499,0.046475,0.073598,0.061058,0.03567,0.026579,0.037187,,0.19169,1.037556,0.232432,0.341398,0.007254,0.009114,0.003883,0.002992,0.00276,0.005307,0.006096,0.003902,0.005199,0.00386,,0.002915,0.003079,0.003601,0.003219,0.004444,0.003137,0.942985,1.012963,1.873887,0.74214,1.248777,0.184778,0.12935,0.508905,0.830356,0.81531,0.610602,1.116251,1.137678,0.391895,0.500689,0.979808,1.009305,0.005749,0.006554,0.005141,0.004405,0.000935,0.002149,0.001866,0.007163,0.005202,0.003301,0.004394,0.001603,0.001772,0.002827,0.001982,0.002486,0.003508,0.002537,0.004677,0.001305,0.003186,0.004285,0.004427,0.003699,0.004388,0.00464,0.004131,0.003246,0.006753,0.005543,0.005145,0.005283,0.003337,0.003657,0.003273,0.003077,0.003964,0.003537,0.002346,0.003466,0.00368,0.002539,0.002342,0.003354,0.002673,0.00227,0.001378,0.001258,0.004764,0.000631,0.001883,0.006642,0.000605,8.8e-05,0.000346,4.7e-05,0.000467,0.000348,0.001708,0.00261,0.000147,6.8e-05,0.000975,0.000331,0.000226,0.000106,0.001783,0.001893,0.000889,0.003553,0.001759,0.00197,0.004936,0.00205,0.004231,0.002614,0.004591,0.000787,0.000417,0.001399,0.000604,0.00132,0.001073,0.00414
gaba,0.078401,0.067898,0.078144,0.103303,0.042718,0.057341,0.058008,0.047155,0.041504,0.114301,0.184813,0.136939,0.076926,0.047238,0.057858,0.061059,0.070097,0.056595,0.074932,0.056724,0.051024,0.066995,0.058323,0.037937,0.050383,0.052689,0.099778,0.271955,0.201986,0.099671,0.117163,0.082585,0.079215,0.045693,0.104162,,0.057261,0.100499,0.109491,0.049429,,,0.003505,0.005197,,0.004352,,0.001372,,,0.002555,0.002862,,0.002226,0.003047,,,0.053976,0.071475,0.078971,0.055137,0.091083,0.107048,0.069708,0.10829,0.054326,0.051232,,0.08314,0.082458,0.078088,0.061864,0.058085,0.211075,,,,,,,,0.005181,0.004583,0.006324,0.004322,,,0.008027,,,,0.005561,,,,,0.006547,0.004768,0.005268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003746,,0.076719,0.022082,,,,,,,,,0.026331,,,,,,,,,,,,,,
alanine,0.17513,0.169455,0.142222,0.217162,0.356455,0.389592,0.602563,0.360605,0.428659,0.198195,0.316829,0.244191,0.184954,0.521571,0.609771,0.468096,0.872726,0.612117,0.884756,0.401304,0.524067,1.377881,0.757379,0.095739,0.162633,0.213188,0.009205,0.226026,0.322809,0.229068,0.296025,0.154956,0.089641,0.146325,0.11207,,0.479184,2.429064,0.916771,0.757068,,,,,,0.002705,,,,,0.002406,,,,,,,1.745365,1.735468,3.263302,1.746904,2.475352,0.666285,0.811317,1.871859,1.410058,1.555288,,2.422524,2.339529,1.228662,1.713887,1.892618,2.047425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002826,,0.136238,0.075525,0.117515,0.026396,0.02976,0.019533,,,,,0.085151,,,,,,,,,,,,,,
proline,0.087269,0.075638,0.116771,0.098075,0.340601,0.520801,0.905025,0.641927,0.751522,0.156483,0.219746,0.139507,0.099279,1.332298,1.755751,1.532595,2.284577,1.532236,2.116546,1.477292,0.60046,1.569467,1.293451,,,,,0.189813,0.182378,,0.201221,0.091534,0.087175,0.079303,0.087037,,0.155677,0.941627,0.453135,0.227675,0.644265,0.701956,0.143794,0.25359,0.534284,0.194574,0.519873,0.13046,0.304564,0.163277,,0.392045,0.208339,0.140917,,0.403203,0.124279,0.69051,0.652575,1.279689,0.736135,0.836694,0.396938,0.446954,0.927439,0.588951,0.610491,0.577119,0.88713,0.868134,0.461154,0.871613,0.950581,0.688199,0.103567,0.056356,0.028989,0.10267,0.094059,,0.093447,0.097797,0.044966,0.044209,0.040388,0.088525,0.182713,0.105329,0.078696,0.053235,,0.077794,0.089487,0.214822,0.100883,0.094497,0.08847,0.089958,0.109996,0.106077,0.101427,0.099048,0.185359,0.088314,0.09723,0.0967,0.111597,0.062519,0.061495,0.042998,0.081239,0.076414,,,0.081249,0.105036,0.043551,0.045661,0.11168,0.03305,0.004581,0.134148,0.005393,0.004341,0.135512,0.190438,0.25899,,0.201111,0.03372,0.073114,0.002378,0.007208,0.01082,0.048572,0.023309,,,0.001674,,0.069224,0.002205,0.15982,0.000756,0.001257,0.014645,0.00126,,0.108791,,0.015364,0.005505,0.004269,0.006109,0.014162,0.007065,0.007593,0.014699
nh4cl,2.789058,52.314509,2.73618,3.846383,1.072568,1.108132,0.764275,0.855481,0.463445,2.612566,5.387785,3.095486,3.007671,0.993724,1.153109,0.96086,1.523917,0.997824,1.733956,1.303272,0.787625,1.29326,1.44176,3.006281,4.519754,5.579159,3.568166,5.067746,3.858324,2.950303,5.090922,2.679988,2.042815,2.53449,2.120524,,1.265621,4.765429,4.683527,0.825511,,,,,,,,,,,,,,,,,,1.798106,1.41537,4.519772,2.061423,8.07156,9.569226,4.368518,9.014397,2.117703,1.966514,7.071384,2.812332,4.843484,3.176377,4.178617,2.642315,7.853624,,,,,,,,0.000632,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002607,,,0.004331,,,0.001498,,,,,,,,,,,,,,,,,,,,,,,,,0.002394,,,,,,,,,,,,,,,,,,
agmatine,0.102911,0.08499,0.092539,0.094497,0.212402,0.200186,0.246742,0.179485,0.137262,0.038957,0.060313,0.031502,0.040152,0.187076,0.216751,0.15003,0.301263,0.197215,0.315813,0.154298,0.221301,0.506124,0.309087,0.121414,0.127502,0.112129,0.114978,0.243245,0.178796,0.104748,0.216232,0.119489,0.110487,0.117566,0.125468,,0.091945,0.760676,0.214273,0.161068,,,0.001382,0.001456,,0.001196,0.000421,0.001953,0.002619,0.002762,0.003196,0.00161,,0.002144,0.000795,0.000113,0.001052,0.628494,0.521821,1.321756,0.586067,1.056162,0.171462,0.257097,0.532693,0.484333,0.676677,0.348579,0.733315,0.773392,0.284389,0.552675,0.748515,0.639118,0.021981,0.030963,0.013286,0.013575,0.02449,0.018446,0.018963,0.019007,0.012288,0.012043,0.013824,0.005774,0.007724,0.015106,0.011194,0.011108,0.011162,0.010599,0.019369,0.026752,0.020494,0.014886,0.015306,0.014506,0.016483,0.028514,0.021866,0.018437,0.018708,0.012054,0.024192,0.015604,0.017814,0.027295,0.023258,0.021676,0.038259,0.015744,0.012595,0.017506,0.011842,0.024899,0.013624,0.027079,0.021613,0.01571,,,,,,3.9e-05,,,,,,,0.000158,,,,,,,,,,0.002621,,,,7.3e-05,,,,,,,,,,,
